Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie;TaxonId
Aceria macrorhynchus;Ahorn-Gallmilbe;Chelicerata;Trombidiformes;Eriophyidae;565885
Aedes albopictus;Asiatische Tigermücke;Insecta;Diptera;Culicidae;62984
Aeshna cyanea;Blaugrüne Mosaikjungfer;Insecta;Odonata;Aeshnidae;52519
Aglais urticae;Kleiner Fuchs;Insecta;Lepidoptera;Nymphalidae;54468
Agriotes obscurus;Düsterer Humusschnellkäfer;Insecta;Coleoptera;Elateridae;456218
Agriotypus armatus;Wasserschlupfwespe;Insecta;Hymenoptera;Ichneumonidae;795688
Alcedo atthis;Eisvogel;Aves;Coraciiformes;Alcedinidae;2599
Allacma fusca;Dunkelbrauner Kugelspringer;Collembola;Symphypleona;Sminthuridae;356218
Alpiscorpius germanus;Alpenskorpion;Chelicerata;Scorpiones;Euscorpiidae;56542
Ammophila sabulosa;Gewöhnliche Sandwespe;Insecta;Hymenoptera;Sphecidae;118841
Anax imperator;Große Königslibelle;Insecta;Odonata;Aeshnidae;94043
Ancylus fluviatilis;Flussnapfschnecke;Gastropoda;Pulmonata;Planorbidae;150049
Andrena hattorfiana;Knautien-Sandbiene;Insecta;Hymenoptera;Andrenidae;424814
Andrena vaga;Weiden-Sandbiene;Insecta;Hymenoptera;Andrenidae;355696
Anguis fragilis;Westliche Blindschleiche;Reptilia;Squamata;Anguidae;343021
Anodonta anatina;Gemeine Teichmuschel;Bivalvia;Unionida;Unionidae;151515
Anodonta cygnea ;Große Teichmuschel;Bivalvia;Unionida;Unionidae;151517
Anthidium manicatum;Garten-Wollbiene;Insecta;Hymenoptera;Megachilidae;62453
Anthrenus verbasci;Wollkrautblütenkäfer;Insecta;Coleoptera;Dermestidae;120113
Anthus spinoletta;Bergpieper;Aves;Passeriformes;Motacillidae;13713
Apis mellifera;Westliche Honigbiene;Insecta;Hymenoptera;Apidae;47219
Apodemus flavicollis;Gelbhalsmaus;Mammalia;Rodentia;Muridae;45550
Aporia crataegi;Baum-Weißling;Insecta;Lepidoptera;Pieridae;61295
Aporrectodea nocturna;Schwarzkopfregenwurm;Clitellata;Oligochaeta;Lumbricidae;1550472
Aporrectodea smaragdina;Smaragdgrüner Regenwurm;Clitellata;Oligochaeta;Lumbricidae;559092
Apus apus;Mauersegler;Aves;Apodiformes;Apodidae;6638
Araneus diadematus;Gartenkreuzspinne;Chelicerata;Araneae;Araneidae;52628
Arctosa cinerea;Flussufer-Riesenwolfspinne;Chelicerata;Araneae;Lycosidae;468087
Argiope bruennichi;Wespenspinne;Chelicerata;Araneae;Araneidae;50867
Armadillidium versicolor;/;Malacostraca;Isopoda;Armadillidiidae;896646
Asellus aquaticus;Wasserassel;Malacostraca;Isopoda;Asellidae;434576
Austropotamobius torrentium;Steinkrebs;Malacostraca;Decapoda;Astacidae;94975
Autographa gamma;Gammaeule;Insecta;Lepidoptera;Noctuidae;55651
Baetis alpinus;;Insecta;Ephemeroptera;Baetidae;1086688
Bombus alpinus;Alpenhummel;Insecta;Hymenoptera;Apidae;433292
Bombus pascuorum;Ackerhummel;Insecta;Hymenoptera;Apidae;55637
Bombylius major;Großer Wollschweber;Insecta;Diptera;Bombyliidae;51557
Boreus westwoodi;Winterhaft oder Schneefloh;Insecta;Mecoptera;Boreidae;532876
Brillia bifida;;Insecta;Diptera;Chironomidae;366246
Bufo bufo;Erdkröte;Amphibia;Anura;Bufonidae;326296
Caeculus echinipes;;Chelicerata;Trombidiformes;Caeculidae;1094708
Calopteryx virgo;Blauflügel-Prachtlibelle;Insecta;Odonata;Calopterygidae;61536
Cameraria ohridella;Rosskastanien-Miniermotte;Insecta;Lepidoptera;Gracillariidae;126088
Camponotus ligniperda;Braunschwarze Rossameise;Insecta;Hymenoptera;Formicidae;338086
