Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie;TaxonId
Aceria macrorhynchus;Ahorn-Gallmilbe;Chelicerata;Trombidiformes;Eriophyidae;
Aedes albopictus;Asiatische Tigermücke;Insecta;Diptera;Culicidae;
Aeshna cyanea;Blaugrüne Mosaikjungfer;Insecta;Odonata;Aeshnidae;
Aglais urticae;Kleiner Fuchs;Insecta;Lepidoptera;Nymphalidae;
Agriotes obscurus;Düsterer Humusschnellkäfer;Insecta;Coleoptera;Elateridae;
Agriotypus armatus;Wasserschlupfwespe;Insecta;Hymenoptera;Ichneumonidae;
Alcedo atthis;Eisvogel;Aves;Coraciiformes;Alcedinidae;
Allacma fusca;Dunkelbrauner Kugelspringer;Collembola;Symphypleona;Sminthuridae;
Alpiscorpius germanus;Alpenskorpion;Chelicerata;Scorpiones;Euscorpiidae;
Ammophila sabulosa;Gewöhnliche Sandwespe;Insecta;Hymenoptera;Sphecidae;
Anax imperator;Große Königslibelle;Insecta;Odonata;Aeshnidae;
Ancylus fluviatilis;Flussnapfschnecke;Gastropoda;Pulmonata;Planorbidae;
Andrena hattorfiana;Knautien-Sandbiene;Insecta;Hymenoptera;Andrenidae;
Andrena vaga;Weiden-Sandbiene;Insecta;Hymenoptera;Andrenidae;
Anguis fragilis;Westliche Blindschleiche;Reptilia;Squamata;Anguidae;
Anodonta anatina;Gemeine Teichmuschel;Bivalvia;Unionida;Unionidae;
Anodonta cygnea ;Große Teichmuschel;Bivalvia;Unionida;Unionidae;
Anthidium manicatum;Garten-Wollbiene;Insecta;Hymenoptera;Megachilidae;
Anthrenus verbasci;Wollkrautblütenkäfer;Insecta;Coleoptera;Dermestidae;
Anthus spinoletta;Bergpieper;Aves;Passeriformes;Motacillidae;
Apis mellifera;Westliche Honigbiene;Insecta;Hymenoptera;Apidae;
Apodemus flavicollis;Gelbhalsmaus;Mammalia;Rodentia;Muridae;
Aporia crataegi;Baum-Weißling;Insecta;Lepidoptera;Pieridae;
Aporrectodea nocturna;Schwarzkopfregenwurm;Clitellata;Oligochaeta;Lumbricidae;
Aporrectodea smaragdina;Smaragdgrüner Regenwurm;Clitellata;Oligochaeta;Lumbricidae;
Apus apus;Mauersegler;Aves;Apodiformes;Apodidae;
Araneus diadematus;Gartenkreuzspinne;Chelicerata;Araneae;Araneidae;
Arctosa cinerea;Flussufer-Riesenwolfspinne;Chelicerata;Araneae;Lycosidae;
Argiope bruennichi;Wespenspinne;Chelicerata;Araneae;Araneidae;
Armadillidium versicolor;/;Malacostraca;Isopoda;Armadillidiidae;
Asellus aquaticus;Wasserassel;Malacostraca;Isopoda;Asellidae;
Austropotamobius torrentium;Steinkrebs;Malacostraca;Decapoda;Astacidae;
Autographa gamma;Gammaeule;Insecta;Lepidoptera;Noctuidae;
