Wissenschaftlicher Name;Trivialname;Klasse;Ordnung;Familie
Aceria macrorhynchus;Ahorn-Gallmilbe;Chelicerata;Trombidiformes;Eriophyidae
Aedes albopictus;Asiatische Tigermücke;Insecta;Diptera;Culicidae
Aeshna cyanea;Blaugrüne Mosaikjungfer;Insecta;Odonata;Aeshnidae
Aglais urticae;Kleiner Fuchs;Insecta;Lepidoptera;Nymphalidae
Agriotes obscurus;Düsterer Humusschnellkäfer;Insecta;Coleoptera;Elateridae
Agriotypus armatus;Wasserschlupfwespe;Insecta;Hymenoptera;Ichneumonidae
Alcedo atthis;Eisvogel;Aves;Coraciiformes;Alcedinidae
Allacma fusca;Dunkelbrauner Kugelspringer;Collembola;Symphypleona;Sminthuridae
Alpiscorpius germanus;Alpenskorpion;Chelicerata;Scorpiones;Euscorpiidae
Ammophila sabulosa;Gewöhnliche Sandwespe;Insecta;Hymenoptera;Sphecidae
Ancylus fluviatilis;Flussnapfschnecke;Gastropoda;Pulmonata;Planorbidae
Andrena hattorfiana;Knautien-Sandbiene;Insecta;Hymenoptera;Apidae
Andrena vaga;Weiden-Sandbiene;Insecta;Hymenoptera;Apidae
Anguis fragilis;Westliche Blindschleiche;Reptilia;Squamata;Anguidae
Anodonta cygnea ;Große Teichmuschel;Bivalvia;Unionida;Unionidae
Anthidium manicatum;Garten-Wollbiene;Insecta;Hymenoptera;Apidae
Anthrenus verbasci;Wollkrautblütenkäfer;Insecta;Coleoptera;Dermestidae
Anthus spinoletta;Bergpieper;Aves;Passeriformes;Motacillidae
Apis mellifera;Westliche Honigbiene;Insecta;Hymenoptera;Apidae
Apodemus flavicollis;Gelbhalsmaus;Mammalia;Rodentia;Muridae
Aporia crataegi;Baum-Weißling;Insecta;Lepidoptera;Pieridae
Aporrectodea smaragdina;Smaragdgrüner Regenwurm;Clitellata;Oligochaeta;Lumbricidae
Apus apus;Mauersegler;Aves;Apodiformes;Apodidae
Araneus diadematus;Gartenkreuzspinne;Chelicerata;Araneae;Araneidae
Arctosa cinerea;Flussufer-Riesenwolfspinne;Chelicerata;Araneae;Lycosidae
Argiope bruennichi;Wespenspinne;Chelicerata;Araneae;Aranaeidae
Armadillidium versicolor;keiner;Malacostraca;Isopoda;Armadillidiidae
Asellus aquaticus;Wasserassel;Malacostraca;Isopoda;Asellidae
Atelura formicaria;Ameisenfischchen;Insecta;Zygentoma;Nicoletiidae
Atypus piceus;Pechschwarze Tapezierspinne;Chelicerata;Araneae;Atypidae
Austropotamobius pallipes;Dohlenkrebs;Malacostraca;Decapoda;Astacidae
Austropotamobius torrentium;Steinkrebs;Malacostraca;Decapoda;Astacidae
Autographa gamma;Gammaeule;Insecta;Lepidoptera;Noctuidae
Baetis alpinus;keiner;Insecta;Ephemeroptera;Baetidae
